serial_id,disease_name,type,symptoms,prevention,cure,common_medicines
1,Diabetes Mellitus,Metabolic,"People with Diabetes Mellitus often experience increased thirst, frequent urination, and fatigue. Vision may become blurred due to rising blood sugar levels.", "To prevent Diabetes Mellitus, maintaining a balanced diet and regular exercise is key. Insulin therapy may also help manage the condition.", "Though there's no cure, managing blood sugar levels through lifestyle changes and insulin therapy can significantly improve quality of life.", "Common medications include Metformin for controlling blood sugar levels and Insulin for more advanced cases."
2,Hypertension,Cardiovascular,"Symptoms of Hypertension include persistent headaches, shortness of breath, and chest pain. Some may experience vision problems as well.", "Preventing Hypertension involves reducing sodium intake, adopting a regular exercise routine, and making other lifestyle changes.", "Hypertension can be managed through medications that lower blood pressure and changes in lifestyle.", "ACE inhibitors and Beta-blockers are often prescribed to help manage blood pressure."
3,Asthma,Respiratory,"Asthma is marked by recurring episodes of wheezing, coughing, and shortness of breath, especially during physical activity or exposure to allergens.", "Asthma prevention focuses on avoiding known allergens, using inhalers as needed, and practicing breathing exercises.", "Although Asthma cannot be fully cured, using inhalers and taking anti-inflammatory medications helps keep the condition under control.", "Common medications include Albuterol for quick relief and Salmeterol for long-term control."
4,Tuberculosis,Infectious,"Tuberculosis presents symptoms like persistent cough, fever, night sweats, and weight loss. It primarily affects the lungs but can spread to other parts of the body.", "Vaccination is the best preventive measure, and it's important to avoid close contact with those who are infected.", "TB can be cured with a long-term course of antibiotics, typically lasting between 6 to 9 months.", "Rifampin and Isoniazid are the most common antibiotics used to treat Tuberculosis."
5,Influenza,Viral,"Common symptoms of Influenza include high fever, chills, body aches, and a sore throat. The flu can also cause a persistent cough.", "Prevention is achieved through annual vaccination, combined with good hygiene practices, such as frequent hand washing.", "While rest and fluids are often sufficient for mild cases, antiviral drugs may be used in more severe cases.", "Oseltamivir and Zanamivir are common antiviral drugs prescribed for Influenza."
6,Malaria,Parasitic,"Symptoms of Malaria include fever, chills, sweating, headaches, and nausea, often occurring in cycles as the infection progresses.", "Using mosquito repellents, bed nets, and taking prophylactic medication are effective preventive measures.", "Antimalarial drugs are used to cure the infection, but early diagnosis is critical.", "Chloroquine and Artemether are commonly used to treat Malaria, depending on the region."
7,Coronary Artery Disease,Cardiovascular,"Patients with Coronary Artery Disease may experience chest pain, shortness of breath, and fatigue, especially during physical activity.", "A heart-healthy diet, regular exercise, and avoiding smoking are crucial steps in preventing this disease.", "Medications and in some cases, surgery, can treat severe forms of the disease.", "Aspirin is used to reduce blood clotting, while Nitroglycerin helps relieve chest pain."
8,COPD,Respiratory,"Chronic Obstructive Pulmonary Disease causes symptoms such as a persistent cough, wheezing, and fatigue. It typically worsens over time.", "Avoiding smoking and pollutants is essential for preventing COPD, along with the use of prescribed medications.", "There is no cure for COPD, but oxygen therapy and bronchodilators can help manage the symptoms.", "Albuterol is a common bronchodilator, and Fluticasone may help reduce inflammation."
9,Rheumatoid Arthritis,Autoimmune,"Rheumatoid Arthritis causes joint pain, swelling, and stiffness, which often occur symmetrically on both sides of the body.", "To prevent flares, patients are advised to engage in regular exercise, take medications, and avoid triggers.", "Although there is no cure, immunosuppressants and surgery in severe cases can provide relief.", "Methotrexate and NSAIDs are frequently used to manage pain and inflammation."
10,Osteoporosis,Skeletal,"Osteoporosis may lead to frequent bone fractures, back pain, and a gradual loss of height due to weakened bones.", "A diet rich in calcium and regular weight-bearing exercises are key preventive measures.", "Treatment includes Bisphosphonates and hormone therapy to strengthen bones.", "Bisphosphonates and Vitamin D supplements are often prescribed to maintain bone density."
11,Chronic Kidney Disease,Renal,"Fatigue, swollen ankles, and shortness of breath are common symptoms of Chronic Kidney Disease, as the kidneys lose function over time.", "Preventing kidney disease involves controlling blood pressure, avoiding smoking, and following a healthy diet.", "Dialysis and kidney transplants are common treatments in advanced stages of the disease.", "ACE inhibitors and Diuretics are often prescribed to help manage symptoms."
12,Liver Cirrhosis,Liver,"Cirrhosis causes fatigue, jaundice, and a loss of appetite as the liver becomes scarred and function decreases.", "Avoiding alcohol and maintaining a healthy diet are essential steps in preventing liver damage.", "Treatment focuses on supportive care and managing complications, with liver transplantation being a last resort.", "Ursodiol and Diuretics may help manage symptoms in patients with Cirrhosis."
13,HIV/AIDS,Infectious,"HIV/AIDS causes weight loss, night sweats, and recurrent infections as the immune system weakens.", "Prevention involves practicing safe sex and using antiretroviral therapy to control viral replication.", "While there's no cure, lifelong treatment with antiretroviral drugs can manage the disease.", "Common medications include a combination of Antiretroviral drugs to prevent disease progression."
14,Parkinson's Disease,Neurological,"Parkinson’s Disease is characterized by tremors, muscle stiffness, and a gradual slowing of movement.", "Physical therapy and medications can help manage symptoms, though prevention remains elusive.", "There is no cure for Parkinson's, but medications and supportive care can slow progression.", "Levodopa and Dopamine agonists are typically used to manage motor symptoms."
15,Alzheimer's Disease,Neurological,"Memory loss, confusion, and difficulty with daily tasks are hallmark symptoms of Alzheimer's Disease.", "Mental exercises and medications may help delay symptoms, though the condition is not fully preventable.", "Though there's no cure, supportive care and medications can help manage symptoms.", "Donepezil and Rivastigmine are commonly prescribed to help manage cognitive decline."
16,Psoriasis,Autoimmune,"Psoriasis causes red patches of skin that may be itchy or painful. These patches often have a silvery scale on top.", "To prevent flare-ups, avoiding triggers such as stress and certain medications is essential, alongside topical treatments.", "Psoriasis can be managed with topical steroids and immunosuppressants to reduce inflammation.", "Common treatments include Methotrexate and topical Corticosteroids."
17,Epilepsy,Neurological,"Epilepsy is marked by recurring seizures, confusion, and sometimes temporary loss of awareness. Seizures vary in type and severity.", "Avoiding known seizure triggers and taking prescribed medications are key preventive steps.", "While there is no cure, antiepileptic drugs can control seizures, and surgery is an option for severe cases.", "Common medications include Phenytoin and Carbamazepine to manage seizure activity."
18,Hepatitis B,Viral,"Hepatitis B causes fatigue, jaundice, and dark urine due to liver inflammation. In severe cases, it may lead to liver damage.", "Vaccination is the most effective prevention, and practicing safe hygiene can reduce transmission risks.", "Hepatitis B can be managed with antiviral drugs and supportive care, although it may become chronic.", "Entecavir and Tenofovir are common antiviral medications used to manage Hepatitis B."
